States, GDP2020, ofNation, GDPperCap, Region
United States,"19520114",100,"58271",
California,"2893054",14.8,"72786",West
Texas,"1628185",8.3,"55976",South
New York,"1587879",8.1,"81465",Northeast
Florida,"1026676",5.3,"47429",South
Illinois,"807383",4.1,"63571",Midwest
Pennsylvania,"723830",3.7,"56487",Northeast
Ohio,"626275",3.2,"53442",Midwest
New Jersey,"574018",2.9,"64232",Northeast
Georgia,"580732",3,"54091",South
Washington,"579695",3,"74347",West
Massachusetts,"546546",2.8,"78339",Northeast
North Carolina,"546776",2.8,"51524",South
Virginia,"519912",2.7,"60271",South
Michigan,"475494",2.4,"47336",Midwest
Maryland,"398609",2,"65527",Northeast
Colorado,"365009",1.9,"62442",West
Minnesota,"348034",1.8,"61051",Midwest
Tennessee,"333194",1.7,"48305",South
Indiana,"344033",1.8,"49520",Midwest
Arizona,"350141",1.8,"47454",West
Wisconsin,"314027",1.6,"53663",Midwest
Missouri,"299131",1.6,"48487",Midwest
Connecticut,"262708",1.3,"73730",Northeast
Louisiana,"224129",1.1,"48249",South
Oregon,"233799",1.2,"54358",West
South Carolina,"224689",1.2,"43125",South
Alabama,"209852",1.1,"42751",South
Kentucky,"193878",1,"43086",South
Oklahoma,"173061",0.9,"43759",South
Iowa,"179037",0.9,"56303",Midwest
Utah,"182895",0.9,"55724",West
Nevada,"156421",0.8,"49820",West
Kansas,"161464",0.8,"55479",Midwest
District of Columbia,"137972",0.7,"191445",Northeast
Arkansas,"120812",0.6,"39753",South
Nebraska,"119692",0.6,"61299",Midwest
Mississippi,"105681",0.6,"35353",South
New Mexico,"93367",0.5,"44531",West
Puerto Rico,"104989",0.48,"31651",South
Hawaii,"98536",0.5,"59056",West
New Hampshire,"78691",0.4,"57386",Northeast
Idaho,"77384",0.4,"42375",West
West Virginia,"68001",0.3,"38244",South
Delaware,"71611",0.4,"72857",Northeast
Maine,"61496",0.3,"45695",Northeast
Rhode Island,"56285",0.3,"53292",Northeast
North Dakota,"49881",0.3,"65484",Midwest
Alaska,"45644",0.2,"62185",West
South Dakota,"50951",0.3,"56422",Midwest
Montana,"47721",0.2,"43911",West
Wyoming,"33233",0.2,"58609",West
Vermont,"30175",0.2,"48044",Northeast
Guam,"5920",0.03,"35,600",West
U.S. Virgin Islands,"3855",0.02,"37000",South
Northern Mariana Islands,"1323",0.006,"24500",West
American Samoa,636,0.003,"11200",West